aegilops_tauschii	Atau
amborella_trichopoda	Atri
arabidopsis_lyrata	Alyr
arabidopsis_thaliana	Atha
brachypodium_distachyon	Bdis
brassica_oleracea	Bole
brassica_rapa	Brap
caenorhabditis_elegans	Cele
chlamydomonas_reinhardtii	Crei
ciona_savignyi	Csav
cyanidioschyzon_merolae	Cmer
drosophila_melanogaster	Dmel
glycine_max	Gmax
homo_sapiens	Hsap
hordeum_vulgare	Hvul
leersia_perrieri	Lper
medicago_truncatula	Mtru
musa_acuminata	Macu
oryza_barthii	Obar
oryza_brachyantha	Obra
oryza_glaberrima	Ogla
oryza_glumaepatula	Oglu
oryza_indica	Oind
oryza_meridionalis	Omer
oryza_nivara	Oniv
oryza_punctata	Opun
oryza_rufipogon	Oruf
oryza_sativa	Osat
ostreococcus_lucimarinus	Oluc
physcomitrella_patens	Ppat
populus_trichocarpa	Ptri
prunus_persica	Pper
saccharomyces_cerevisiae	Scer
selaginella_moellendorffii	Smoe
setaria_italica	Sita
solanum_lycopersicum	Slyc
solanum_tuberosum	Stub
sorghum_bicolor	Sbic
theobroma_cacao	Tcac
triticum_aestivum	Taes
triticum_urartu	Tura
vitis_vinifera	Vvin
zea_mays	Zmay
